"","TCGA-BH-A18H-01A-11R-A12D-07","TCGA-E2-A14P-01A-31R-A12D-07","TCGA-AN-A04A-01A-21R-A034-07","TCGA-GI-A2C8-11A-22R-A16F-07","TCGA-BH-A0BW-11A-12R-A115-07","TCGA-BH-A1FE-11B-14R-A13Q-07"
"ENSG00000000003.15",426,1033,1417,420,2690,7256
"ENSG00000000005.6",3,21,9,16,52,476
"ENSG00000000419.13",1439,4553,1982,1664,1529,2500
"ENSG00000000457.14",1049,932,1227,654,1271,2300
"ENSG00000000460.17",326,463,284,84,388,672
"ENSG00000000938.13",1015,338,215,129,1638,274
"ENSG00000000971.16",2292,1159,4016,3208,9162,4574
"ENSG00000001036.14",1452,4947,2753,485,1134,1523
"ENSG00000001084.13",1506,1728,870,1053,2153,2608
"ENSG00000001167.14",1837,2317,1557,807,2361,4071
"ENSG00000001460.18",374,1130,440,136,532,940
"ENSG00000001461.17",1862,599,1991,860,3779,5625
"ENSG00000001497.18",4194,5922,3144,606,2442,2084
"ENSG00000001561.7",1140,247,395,3410,1551,2534
"ENSG00000001617.12",4138,3144,5996,550,2183,1633
"ENSG00000001626.16",1,50,26,0,353,76
"ENSG00000001629.10",2118,4534,3763,2289,4514,6663
"ENSG00000001630.17",107,118,110,38,35,21
"ENSG00000001631.16",205,311,161,216,401,537
"ENSG00000002016.18",285,431,195,518,682,1417
"ENSG00000002079.14",2,6,14,3,17,9
"ENSG00000002330.14",318,324,132,192,224,124
"ENSG00000002549.12",9258,3484,5243,4258,7878,4944
"ENSG00000002586.20",5772,11827,15352,5053,6207,3304
"ENSG00000002586.20_PAR_Y",0,0,0,0,0,0
"ENSG00000002587.10",264,175,162,52,434,770
"ENSG00000002726.21",18,48,77,3,150,11
"ENSG00000002745.13",9,6,0,0,33,0
"ENSG00000002746.15",16,4,163,72,50,34
"ENSG00000002822.15",18,18,50,10,69,9
"ENSG00000002834.18",20413,43839,21109,2589,12715,6460
"ENSG00000002919.15",1747,693,1361,750,1385,1319
"ENSG00000002933.9",2222,813,2405,570,1894,2267
"ENSG00000003056.8",2481,5199,3512,1601,4764,3897
"ENSG00000003096.14",91,249,2362,570,3009,4880
"ENSG00000003137.8",73,297,82,317,506,220
"ENSG00000003147.19",1468,3589,2496,147,1425,2769
"ENSG00000003249.15",3140,5922,3861,2492,632,584
"ENSG00000003393.15",1159,3396,1693,3082,1733,3227
"ENSG00000003400.15",616,312,393,499,1570,1197
"ENSG00000003402.20",3980,3277,2628,7473,10762,12280
"ENSG00000003436.16",484,850,1306,2091,2693,5969
"ENSG00000003509.16",442,457,515,1381,829,1131
"ENSG00000003756.17",4005,2346,2162,1886,5665,8323
"ENSG00000003987.14",28,31,346,77,106,190
"ENSG00000003989.18",6436,400,63985,23529,3244,6280
"ENSG00000004059.11",2843,5952,4116,3082,2856,2090
"ENSG00000004139.14",152,127,233,108,399,478
"ENSG00000004142.12",2877,3929,6023,16969,4426,4936
"ENSG00000004399.13",4893,14219,8459,4391,8633,4083
"ENSG00000004455.17",4566,7414,7083,3957,6253,8344
"ENSG00000004468.13",696,328,86,3376,1676,320
"ENSG00000004478.8",16555,24214,23651,4793,3858,6240
"ENSG00000004487.17",3300,12135,7002,3152,4822,7256
"ENSG00000004534.15",4887,2676,2741,1992,6740,7121
"ENSG00000004660.15",452,1091,435,250,665,565
"ENSG00000004700.16",950,1088,1682,1090,1799,1835
"ENSG00000004766.17",702,1296,1074,1969,1695,3424
"ENSG00000004776.13",16,125,34,34093,184,628
"ENSG00000004777.18",515,442,302,113,343,577
"ENSG00000004779.10",2182,3128,3755,7141,1237,1934
"ENSG00000004799.8",403,1588,1791,139784,14962,13099
"ENSG00000004809.14",0,0,10,0,30,10
"ENSG00000004838.14",982,620,140,15,35,38
"ENSG00000004846.16",1,5,19,19,59,497
"ENSG00000004848.8",5,63,15,764,14,6
"ENSG00000004864.14",368,2608,1311,320,1251,2333
"ENSG00000004866.22",631,1267,1130,674,796,1449
"ENSG00000004897.12",2140,1857,4297,4574,4351,6453
"ENSG00000004939.15",1,1,1,26,12,4
"ENSG00000004948.16",6,68,8,140,11,33
"ENSG00000004961.15",1341,1131,1955,3008,1025,1245
"ENSG00000004975.12",1035,2595,1705,684,1667,1702
"ENSG00000005001.10",464,859,350,0,489,214
"ENSG00000005007.13",6821,10724,7387,4050,6617,4653
"ENSG00000005020.13",934,674,1469,1686,3581,5882
"ENSG00000005022.6",8024,10741,29562,1681,8073,10179
"ENSG00000005059.16",970,1705,872,199,1527,949
"ENSG00000005073.6",7,5,23,145,9,8
"ENSG00000005075.15",909,2784,1404,2393,701,725
"ENSG00000005100.13",992,1493,1718,988,1908,3089
"ENSG00000005102.14",233,269,100,829,829,644
"ENSG00000005108.16",270,103,329,231,647,714
"ENSG00000005156.12",1211,1966,2147,1063,2019,2604
"ENSG00000005175.10",1496,1898,1831,2590,2118,3122
"ENSG00000005187.12",25,51,119,88,626,815
"ENSG00000005189.20",278,205,319,83,229,488
"ENSG00000005194.15",1608,12239,3942,1601,1784,2038
"ENSG00000005206.17",1686,1987,1704,595,2117,1118
"ENSG00000005238.20",797,766,1294,800,957,655
"ENSG00000005243.10",250,221,1181,2051,548,630
"ENSG00000005249.13",1841,2598,2473,325,3068,6419
"ENSG00000005302.19",1521,2403,1609,1713,3027,2859
"ENSG00000005339.15",4650,5590,9471,7146,8867,12473
"ENSG00000005379.17",1087,198,1020,405,2484,1958
"ENSG00000005381.8",4,7,3,55,50,42
